Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       48  0.333333       15.7038       15.7038       15.7038      0.663912E-01  0.229786E-02  0.230775E-02  -119.590      -20.8204      -39.5267       25.9247       0.00000      -390.779      0.227700      0.500000      0.113024       19.9373      -40.9027       0.00000       0.00000       0.00000       0.00000    
       49  0.340278       15.6577       15.6577       15.6577      0.392232E-01  0.135767E-02  0.227162E-02  -114.533      -19.0656      -37.3114       27.9595       0.00000      -390.529      0.227700      0.500000      0.113666       19.9342      -41.0844       0.00000       0.00000       0.00000       0.00000    
       50  0.347222       15.6152       15.6152       15.6152      0.473791E-01  0.164012E-02  0.223845E-02  -110.017      -17.7753      -34.9789       30.3087       0.00000      -390.299      0.227700      0.500000      0.114257       19.9313      -41.2513       0.00000       0.00000       0.00000       0.00000    
       51  0.354167       15.5758       15.5758       15.5758      0.425912E-01  0.147449E-02  0.218572E-02  -102.804      -15.5477      -31.7524       32.7230       0.00000      -390.086      0.227700      0.500000      0.114771       19.9288      -41.4170       0.00000       0.00000       0.00000       0.00000    
       52  0.361111       15.5414       15.5414       15.5414      0.696170E-01  0.241027E-02  0.215656E-02  -99.0609      -14.4020      -31.1576       34.6323       0.00000      -389.900      0.227700      0.500000      0.115242       19.9265      -41.5517       0.00000       0.00000       0.00000       0.00000    
       53  0.368056       15.5097       15.5097       15.5097      0.526813E-01  0.182404E-02  0.205095E-02  -85.5009      -9.78573      -25.0312       37.6929       0.00000      -389.729      0.227700      0.500000      0.115655       19.9245      -41.6839       0.00000       0.00000       0.00000       0.00000    
       54  0.375000       15.4869       15.4869       15.4869      0.239329E-01  0.828692E-03  0.195279E-02  -74.4252      -5.90114      -21.4698       96.8056       0.00000      -389.606      0.227700      0.500000      0.116071       19.9224      -41.7293       0.00000       0.00000       0.00000       0.00000    
       55  0.381944       15.4785       15.4785       15.4785      0.370677E-01  0.128351E-02  0.183048E-02  -61.5980      -2.19878      -16.4002       114.042       0.00000      -389.561      0.227700      0.500000      0.113149       19.9367      -43.0256       0.00000       0.00000       0.00000       0.00000    
       56  0.388889       15.4812       15.4812       15.4812      0.554317E-01  0.191938E-02  0.183462E-02  -61.4914     -0.297274      -21.1920       46.0508       0.00000      -389.575      0.227700      0.500000      0.109491       19.9546      -44.6152       0.00000       0.00000       0.00000       0.00000    
       57  0.395833       15.4764       15.4764       15.4764      0.840774E-01  0.291129E-02  0.191428E-02  -71.0791       4.04669      -34.4068       213.170       0.00000      -389.549      0.227700      0.500000      0.109997       19.9521      -44.4332       0.00000       0.00000       0.00000       0.00000    
       58  0.402778       15.4864       15.4864       15.4864       0.00000      0.808195E-04  0.200578E-02  -83.5184      0.388822E-01 -0.130205       490.270       0.00000      -389.603      0.227700      0.500000      0.100462       19.9988      -49.0485       0.00000       0.00000       0.00000       0.00000    
       59  0.409722       15.5263       15.5263       15.5263       0.00000      0.686504E-04  0.197815E-02  -80.1003      0.581993E-01 -0.133967       504.068       0.00000      -389.819      0.227700      0.500000      0.744338E-01   20.1263      -67.4849       0.00000       0.00000       0.00000       0.00000    
