time,30 cm,25 cm,20 cm,15 cm,10 cm,5 cm,air
26/05/2021 06:05,13.425635425,13.2586331499344,12.9776774500137,NaN,12.994501439932,13.007172339914,13.0031124549782
26/05/2021 06:15,13.4126849497608,13.2426004663833,12.9622567363912,NaN,12.9787192198,12.9891740598252,12.9877402779841
26/05/2021 06:25,13.39549485,13.2137363664857,12.9467272966838,NaN,12.966468239958,12.973677739918,12.976392481677
26/05/2021 06:35,13.3756484749184,13.1844985998514,12.9344505631806,NaN,12.9523422199737,12.9643769399522,12.9678038449543
26/05/2021 06:45,13.358354775,13.1619539582193,12.919793376687,NaN,12.9411656399624,12.9522003400714,12.9575214483447
26/05/2021 06:55,13.3442638249415,13.1465160249201,12.9055723698256,NaN,12.9305059799647,12.9417735599019,12.9439172249633
26/05/2021 07:05,13.3324274497867,13.134466008212,12.8980778365852,NaN,12.9191957398328,12.9278604599572,12.9297695865126
26/05/2021 07:15,13.3224959999606,13.125353499958,12.891469356676,NaN,12.9060438599625,12.9147834199167,12.9206486766556
26/05/2021 07:25,13.3133488498606,13.1181805249191,12.8824087798347,NaN,12.8974450399081,12.9056852399293,12.9133651448971
26/05/2021 07:35,13.304897925,13.112105441631,12.872762656676,NaN,12.8885758599734,12.8974197999379,12.9067080833219
26/05/2021 07:45,13.2964488498598,13.1042473165621,12.8638132998488,NaN,12.8795504998628,12.8895950399194,12.9015023865436
26/05/2021 07:55,13.28834315,13.0973764083123,12.8558958200064,NaN,12.8701187199697,12.880064999932,12.8936534566862
26/05/2021 08:05,13.2797170249627,13.094112291652,12.8519410766412,NaN,12.8631594199799,12.8709816599343,12.8838866982382
26/05/2021 08:15,13.270686925,13.0910074166357,12.8501568066697,NaN,12.8546436599794,12.8637445000362,12.8754360650148
26/05/2021 08:25,13.2602321749477,13.0813966165821,12.8498854733663,NaN,12.8491350200012,12.859554820009,12.876259401682
26/05/2021 08:35,13.2479499747744,13.065388041444,12.8474322632379,NaN,12.847771760002,12.8616808200329,12.8857375868562
26/05/2021 08:45,13.2356219499548,13.0484078665691,12.8406054133423,NaN,12.8485680600123,12.867527320074,12.8988459100302
26/05/2021 08:55,13.2250873747305,13.0388209414888,12.8453412907303,NaN,12.8628774607637,12.8919785999358,12.9058987927893
26/05/2021 09:05,13.215112675,13.0226435916177,12.847994270003,NaN,12.8657770599504,12.8855060199376,12.907734246698
26/05/2021 09:15,13.2059425998798,13.0154979999745,12.8473312067011,NaN,12.8594367200413,12.8881825200976,12.9180225168261
26/05/2021 09:25,13.1983016,13.0126008166512,12.848788076663,NaN,12.862262760015,12.8971594800465,12.9261274266582
26/05/2021 09:35,13.1910591749666,13.0103590916288,12.8521900300015,NaN,12.8658684200221,12.8953589199358,12.9331889198738
26/05/2021 09:45,13.183114975,13.0052426249903,12.8529159066627,NaN,12.8706758600318,12.9056793398832,12.9426342633253
26/05/2021 09:55,13.1758375749739,13.003815841662,12.8573974800868,NaN,12.8811127800405,12.9201784601314,12.9485407533509
26/05/2021 10:05,13.1694507249105,13.0033818083209,12.8619813966892,NaN,12.8927973001599,12.9349575001434,12.9625240451618
26/05/2021 10:15,13.163928399984,13.0031600916517,12.8660843999915,NaN,12.9072657600591,12.9506380800339,12.9839335316842
26/05/2021 10:25,13.1597240249536,13.0045733083464,12.8679904002173,NaN,12.9250917210501,12.9587048605228,12.9778488322084
26/05/2021 10:35,13.15336405,12.9968392666797,12.8741076499726,NaN,12.9212027399374,12.9057426406326,12.9199181785352
26/05/2021 10:45,13.148056199913,13.0002974167239,12.8856256200082,NaN,12.9074733601246,12.9214832204291,12.9652479259282
